tokens,ner_tags
"['training', 'tables']","['O', 'O']"
"['dining', 'caf', 'tables']","['O', 'O', 'O']"
['heightadjustable'],['O']
"['desks', 'benching']","['O', 'O']"
"['meeting', 'multiuse']","['O', 'O']"
"['tables', 'desks']","['O', 'O']"
"['outdoor', 'seating']","['O', 'O']"
"['side', 'chairs', 'stools']","['O', 'O', 'O']"
"['lounge', 'seating']","['O', 'O']"
['seating'],['O']
"['work', 'chairs']","['O', 'O']"
"['samson', 'single', 'daybed', 'foam', 'and', 'cover']","['O', 'O', 'O', 'O', 'O', 'O']"
"['addison', 'table', 'lamp', 'jade']","['O', 'B-PRODUCT', 'B-PRODUCT', 'O']"
"['vast', 'furniture', 'voucher']","['O', 'B-PRODUCT', 'O']"
"['king', 'mattress', 'topper', 'wool', 'underlay', 'reversible', 'mat', 'pad', 'protector']","['O', 'B-PRODUCT', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['king', 'washed', 'cotton', 'sheet', 'set', 'yellow', 'lime']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['king', 'bedding', 'luxury', 'pillowtop', 'mattress', 'topper', 'mat', 'pad', 'protector', 'cover']","['O', 'O', 'O', 'O', 'B-PRODUCT', 'O', 'O', 'O', 'O', 'O']"
"['florence', 'metal', 'bed', 'frame', 'base', 'platform', 'black', 'king']","['O', 'O', 'B-PRODUCT', 'O', 'O', 'O', 'O', 'O']"
"['lucca', 'bed', 'frame', 'fabric', 'gas', 'lift', 'storage', 'grey', 'king']","['O', 'B-PRODUCT', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['azalea', 'led', 'bed', 'frame', 'pu', 'leather', 'gas', 'lift', 'storage', 'black', 'king']","['O', 'O', 'B-PRODUCT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['savannah', 'grey', 'bed', 'frame', 'fabric', 'gas', 'lift', 'storage', 'king']","['O', 'O', 'B-PRODUCT', 'O', 'O', 'O', 'O', 'O', 'O']"
"['clayton', 'gray', 'home', 'gift', 'card']","['O', 'O', 'O', 'O', 'O']"
['cabinetry'],['O']
"['post', 'office', 'shelving']","['O', 'O', 'O']"
"['avery', 'dining', 'chair']","['O', 'O', 'B-PRODUCT']"
"['ascent', 'hilow', 'desk']","['O', 'O', 'B-PRODUCT']"
['hammocks'],['O']
"['antares', 'end', 'table']","['O', 'B-PRODUCT', 'I-PRODUCT']"
"['joyce', 'cabinet']","['O', 'B-PRODUCT']"
['exdisplay'],['O']
"['antares', 'coffee', 'table']","['O', 'B-PRODUCT', 'I-PRODUCT']"
"['beata', 'light', 'small']","['O', 'B-PRODUCT', 'O']"
"['tables', 'and', 'desks']","['O', 'O', 'O']"
"['antares', 'console', 'table']","['O', 'B-PRODUCT', 'B-PRODUCT']"
"['more', 'ways', 'to', 'shop']","['O', 'O', 'O', 'O']"
"['heating', 'lighting']","['O', 'O']"
"['outdoor', 'pillows']","['O', 'O']"
"['outdoor', 'rugs']","['O', 'O']"
"['patio', 'furniture']","['O', 'B-PRODUCT']"
"['chairs', 'and', 'stools']","['O', 'O', 'O']"
"['up', 'to', 'off', 'banner']","['O', 'O', 'O', 'O']"
"['up', 'to', 'off', 'banner']","['O', 'O', 'O', 'O']"
['upholstery'],['O']
"['clearance', 'sale', 'banner', 'sign']","['O', 'O', 'O', 'O']"
"['grand', 'opening', 'banner']","['O', 'O', 'O']"
"['amalfi', 'door', 'credenza', 'in', 'oiled', 'walnut']","['O', 'O', 'B-PRODUCT', 'O', 'O', 'O']"
"['amalfi', 'door', 'credenza']","['O', 'O', 'B-PRODUCT']"
"['amalfi', 'door', 'credenza', 'in', 'bleached', 'or', 'oiled', 'walnut']","['O', 'O', 'B-PRODUCT', 'O', 'O', 'O', 'O', 'O']"
"['peninsula', 'ash', 'dining', 'table']","['O', 'O', 'O', 'B-PRODUCT']"
"['polygon', 'pedestal', 'dining', 'table']","['O', 'O', 'O', 'B-PRODUCT']"
"['signature', 'round', 'dining', 'table']","['O', 'O', 'O', 'B-PRODUCT']"
"['design', 'appointment']","['O', 'O']"
"['imperfect', 'pedestal', 'table']","['O', 'O', 'B-PRODUCT']"
"['beetroot', 'pedestal', 'table']","['O', 'O', 'B-PRODUCT']"
"['byron', 'mini', 'side', 'table']","['O', 'O', 'O', 'B-PRODUCT']"
"['american', 'leather', 'ethan', 'chair', 'ottoman']","['O', 'O', 'O', 'B-PRODUCT', 'B-PRODUCT']"
"['fluted', 'column', 'side', 'table']","['O', 'O', 'O', 'B-PRODUCT']"
"['american', 'leather', 'cumulus', 'comfort', 'air', 'chair', 'ottoman']","['O', 'O', 'O', 'O', 'O', 'B-PRODUCT', 'B-PRODUCT']"
"['american', 'leather', 'cloud', 'comfort', 'air', 'chair', 'ottoman']","['O', 'O', 'O', 'O', 'O', 'B-PRODUCT', 'B-PRODUCT']"
"['american', 'leather', 'como', 'comfort', 'air', 'chair', 'rocking', 'ottoman']","['O', 'O', 'O', 'O', 'O', 'B-PRODUCT', 'O', 'B-PRODUCT']"
"['american', 'leather', 'carmet', 'sofa', 'loveseat', 'chair']","['O', 'O', 'O', 'B-PRODUCT', 'O', 'B-PRODUCT']"
"['american', 'leather', 'cirrus', 'comfort', 'air', 'chair', 'ottoman']","['O', 'O', 'O', 'O', 'O', 'B-PRODUCT', 'B-PRODUCT']"
"['polygon', 'pedestal', 'side', 'table']","['O', 'O', 'O', 'B-PRODUCT']"
"['american', 'leather', 'bella', 'chair', 'ottoman']","['O', 'O', 'O', 'B-PRODUCT', 'B-PRODUCT']"
"['american', 'leather', 'alessandro', 'sofa', 'loveseat', 'chair']","['O', 'O', 'O', 'B-PRODUCT', 'O', 'B-PRODUCT']"
"['byron', 'side', 'table']","['O', 'O', 'B-PRODUCT']"
"['bobbin', 'side', 'table']","['O', 'O', 'B-PRODUCT']"
"['completely', 'imperfect', 'side', 'table']","['O', 'O', 'O', 'B-PRODUCT']"
"['pippy', 'oak', 'side', 'table']","['O', 'O', 'O', 'B-PRODUCT']"
"['parted', 'block']","['O', 'O']"
"['cocher', 'drinkers', 'table']","['O', 'O', 'B-PRODUCT']"
"['perfect', 'side', 'table']","['O', 'O', 'B-PRODUCT']"
"['fluted', 'block']","['O', 'O']"
"['nibbe', 'table', 'stool']","['O', 'B-PRODUCT', 'B-PRODUCT']"
"['new', 'bobbin', 'shelving', 'round']","['O', 'O', 'O', 'O']"
"['new', 'fluted', 'ingot', 'coffee', 'table']","['O', 'O', 'O', 'B-PRODUCT', 'I-PRODUCT']"
"['premium', 'stretch', 'sofa', 'cover']","['O', 'O', 'B-PRODUCT', 'O']"
"['remy', 'serving', 'trolley']","['O', 'O', 'O']"
"['moci', 'table']","['O', 'B-PRODUCT']"
"['zoo', 'tables']","['O', 'O']"
['pile'],['O']
"['fried', 'egg']","['O', 'O']"
['surfboard'],['O']
"['briquettes', 'kg', 'bag', 'collection', 'only']","['O', 'O', 'O', 'O', 'O']"
"['mop', 'inlay', 'drawer', 'side', 'cabinet', 'floral', 'blush', 'exdisplay']","['O', 'O', 'O', 'O', 'B-PRODUCT', 'O', 'O', 'O']"
"['niche', 'chest', 'of', 'drawers']","['O', 'B-PRODUCT', 'O', 'O']"
"['beds', 'bedroom', 'furniture']","['O', 'O', 'B-PRODUCT']"
"['solid', 'baha', 'boutique', 'open', 'wardrobe', 'xxcm']","['O', 'O', 'O', 'O', 'B-PRODUCT', 'O']"
"['niche', 'large', 'chest', 'of', 'drawers']","['O', 'O', 'B-PRODUCT', 'O', 'O']"
"['vavoom', 'gift', 'cards']","['O', 'O', 'O']"
"['the', 'chair', 'hammock']","['O', 'B-PRODUCT', 'B-PRODUCT']"
['venjakob'],['O']
['himolla'],['O']
"['living', 'dining']","['O', 'O']"
"['stock', 'offer', 'tempur', 'elite', 'king', 'size', 'mattress']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PRODUCT']"
"['sustainable', 'furniture']","['O', 'B-PRODUCT']"
"['height', 'adjustable', 'tables']","['O', 'O', 'O']"
"['adjustable', 'bed']","['O', 'B-PRODUCT']"
"['rattan', 'furniture']","['O', 'B-PRODUCT']"
"['boucl', 'fabric']","['O', 'O']"
"['special', 'offers', 'office']","['O', 'O', 'O']"
"['tito', 'sided', 'height', 'adjustable', 'table', 'w']","['O', 'O', 'O', 'O', 'B-PRODUCT', 'O']"
"['bar', 'counter', 'stools']","['O', 'O', 'O']"
"['office', 'chairs']","['O', 'O']"
"['all', 'sofas']","['O', 'O']"
"['study', 'tables']","['O', 'O']"
"['rib', 'lshaped', 'acoustic', 'screen', 'pet']","['O', 'O', 'O', 'B-PRODUCT', 'O']"
"['tito', 'sided', 'height', 'adjustable', 'table', 'w']","['O', 'O', 'O', 'O', 'B-PRODUCT', 'O']"
"['reisha', 'study', 'table', 'w']","['O', 'O', 'B-PRODUCT', 'O']"
"['pash', 'folding', 'seminar', 'table', 'w', 'nestable']","['O', 'O', 'O', 'B-PRODUCT', 'O', 'O']"
"['maxi', 'workstation', 'w']","['O', 'O', 'O']"
"['madeline', 'foldable', 'portable', 'table', 'w']","['O', 'O', 'O', 'B-PRODUCT', 'O']"
"['all', 'bed', 'frames']","['O', 'B-PRODUCT', 'O']"
"['madeline', 'foldable', 'portable', 'table', 'w']","['O', 'O', 'O', 'B-PRODUCT', 'O']"
"['kiel', 'armchair', 'legged']","['O', 'B-PRODUCT', 'O']"
"['kasa', 'midback', 'office', 'chair']","['O', 'O', 'B-PRODUCT', 'I-PRODUCT']"
"['jorca', 'midback', 'office', 'chair']","['O', 'O', 'B-PRODUCT', 'I-PRODUCT']"
"['jorca', 'highback', 'office', 'chair']","['O', 'O', 'B-PRODUCT', 'I-PRODUCT']"
"['hancisco', 'armchair', 'cantilevered']","['O', 'B-PRODUCT', 'O']"
"['eloyd', 'midback', 'office', 'chair']","['O', 'O', 'B-PRODUCT', 'I-PRODUCT']"
"['edgar', 'study', 'table', 'w']","['O', 'O', 'B-PRODUCT', 'O']"
"['eleanor', 'sidechair', 'legged']","['O', 'O', 'O']"
"['dynamo', 'tablet', 'armchair', 'w', 'fixed', 'glides', 'nestable']","['O', 'O', 'B-PRODUCT', 'O', 'O', 'O', 'O']"
"['dynamo', 'tablet', 'armchair', 'w', 'castors', 'nestable']","['O', 'O', 'B-PRODUCT', 'O', 'O', 'O']"
"['dynamo', 'armchair', 'w', 'castors', 'nestable']","['O', 'B-PRODUCT', 'O', 'O', 'O']"
"['comfort', 'acrylic', 'shield', 'w', 'access', 'hole']","['O', 'O', 'O', 'O', 'O', 'O']"
"['comfort', 'acrylic', 'shield', 'w']","['O', 'O', 'O', 'O']"
"['comfort', 'acrylic', 'shield', 'w']","['O', 'O', 'O', 'O']"
"['carson', 'study', 'table', 'w']","['O', 'O', 'B-PRODUCT', 'O']"
"['butcher', 'x', 'tito', 'height', 'adjustable', 'table', 'w']","['O', 'O', 'O', 'O', 'O', 'B-PRODUCT', 'O']"
"['butcher', 'x', 'tito', 'height', 'adjustable', 'table', 'w']","['O', 'O', 'O', 'O', 'O', 'B-PRODUCT', 'O']"
"['butcher', 'x', 'tito', 'height', 'adjustable', 'table', 'w']","['O', 'O', 'O', 'O', 'O', 'B-PRODUCT', 'O']"
"['brody', 'study', 'table', 'w']","['O', 'O', 'B-PRODUCT', 'O']"
"['boris', 'midback', 'office', 'chair']","['O', 'O', 'B-PRODUCT', 'I-PRODUCT']"
"['boris', 'highback', 'office', 'chair']","['O', 'O', 'B-PRODUCT', 'I-PRODUCT']"
"['boost', 'folding', 'seminar', 'table', 'w', 'nestable']","['O', 'O', 'O', 'B-PRODUCT', 'O', 'O']"
"['boost', 'folding', 'seminar', 'table', 'w', 'nestable']","['O', 'O', 'O', 'B-PRODUCT', 'O', 'O']"
"['bingo', 'midback', 'office', 'chair']","['O', 'O', 'B-PRODUCT', 'I-PRODUCT']"
"['benedict', 'midback', 'officestudy', 'chair']","['O', 'O', 'O', 'B-PRODUCT']"
"['apex', 'study', 'table', 'w']","['O', 'O', 'B-PRODUCT', 'O']"
"['apex', 'study', 'table', 'w']","['O', 'O', 'B-PRODUCT', 'O']"
"['apex', 'study', 'table', 'w']","['O', 'O', 'B-PRODUCT', 'O']"
"['special', 'offers', 'outdoor']","['O', 'O', 'O']"
"['special', 'offers', 'pet', 'beds']","['O', 'O', 'O', 'O']"
"['special', 'offers', 'acrylic', 'shields', 'pc', 'guards']","['O', 'O', 'O', 'O', 'O', 'O']"
"['special', 'offers', 'lobby', 'break', 'out']","['O', 'O', 'O', 'O', 'O']"
"['special', 'offers', 'restaurant', 'pantry']","['O', 'O', 'O', 'B-PRODUCT']"
"['special', 'offers', 'lights', 'bulbs']","['O', 'O', 'O', 'O']"
"['special', 'offers', 'study', 'room']","['O', 'O', 'O', 'O']"
"['special', 'offers', 'accessories']","['O', 'O', 'O']"
"['special', 'offers', 'bedroom']","['O', 'O', 'O']"
"['stock', 'offer', 'stressless', 'consul', 'classic', 'base', 'chair', 'stool']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PRODUCT', 'B-PRODUCT']"
"['special', 'offers', 'childrens', 'furniture']","['O', 'O', 'O', 'B-PRODUCT']"
"['stock', 'offer', 'emily', 'seater', 'sofa', 'with', 'power']","['O', 'O', 'O', 'O', 'B-PRODUCT', 'O', 'O']"
"['hypnos', 'orthocare', 'classic', 'kingsize', 'divan', 'mattress']","['O', 'O', 'O', 'O', 'B-PRODUCT', 'B-PRODUCT']"
"['special', 'offers', 'dining', 'room']","['O', 'O', 'O', 'O']"
"['drinks', 'trolleys']","['O', 'O']"
['drinkware'],['O']
['consoles'],['O']
"['special', 'offers', 'living', 'room']","['O', 'O', 'O', 'O']"
"['lights', 'bulbs']","['O', 'O']"
"['banquet', 'furniture']","['O', 'B-PRODUCT']"
"['pet', 'beds']","['O', 'O']"
"['m', 'solutions']","['O', 'O']"
"['childrens', 'furniture']","['O', 'B-PRODUCT']"
['mirrors'],['O']
"['special', 'offers', 'bundle', 'sale']","['O', 'O', 'O', 'O']"
"['home', 'accessories']","['O', 'O']"
"['comfort', 'acrylic', 'shield', 'pc', 'guard']","['O', 'O', 'O', 'O', 'O']"
['novibelo'],['O']
"['pbj', 'design', 'house']","['O', 'O', 'O']"
"['centrepiece', 'living', 'dining', 'furniture']","['O', 'O', 'O', 'B-PRODUCT']"
['skovby'],['O']
['gwinner'],['O']
"['ligne', 'roset']","['O', 'O']"
"['natuzzi', 'editions']","['O', 'O']"
"['orla', 'kiely', 'reduced', 'sofas', 'chairs']","['O', 'O', 'O', 'O', 'O']"
"['tetrad', 'sofas']","['O', 'O']"
['bontempi'],['O']
"['cattelan', 'italia']","['O', 'O']"
['duresta'],['O']
"['collins', 'hayes']","['O', 'O']"
"['michael', 'tyler']","['O', 'O']"
"['ercol', 'furniture']","['O', 'B-PRODUCT']"
['brands'],['O']
"['stressless', 'dining']","['O', 'O']"
"['stressless', 'quickship', 'sofas', 'chairs']","['O', 'O', 'O', 'O']"
"['stressless', 'accessories']","['O', 'O']"
"['stressless', 'reclining', 'sofas']","['O', 'O', 'O']"
"['cotton', 'rope', 'hammock']","['O', 'O', 'B-PRODUCT']"
"['stressless', 'office', 'chairs']","['O', 'O', 'O']"
"['go', 'anywhere', 'hanging', 'straps']","['O', 'O', 'O', 'O']"
"['adjustable', 'hammock', 'stand', 'charcoal']","['O', 'B-PRODUCT', 'O', 'O']"
"['stressless', 'recliner', 'chairs']","['O', 'B-PRODUCT', 'O']"
"['stressless', 'furniture']","['O', 'B-PRODUCT']"
"['book', 'a', 'design', 'appointment']","['O', 'O', 'O', 'O']"
"['desks', 'office', 'chairs']","['O', 'O', 'O']"
"['modern', 'coffee', 'tables']","['O', 'O', 'O']"
"['living', 'room', 'storage']","['O', 'O', 'O']"
"['dining', 'furniture']","['O', 'B-PRODUCT']"
"['sofas', 'chairs']","['O', 'O']"
['tempur'],['O']
"['alek', 'desk', 'lamp']","['O', 'B-PRODUCT', 'B-PRODUCT']"
"['edmund', 'pendant', 'light', 'clear', 'maple']","['O', 'O', 'B-PRODUCT', 'O', 'O']"
"['sarah', 'ceiling', 'fixture', 'tan']","['O', 'O', 'O', 'O']"
"['ava', 'wall', 'sconce', 'tan', 'hardwired']","['O', 'O', 'B-PRODUCT', 'O', 'O']"
"['maine', 'cottage', 'gift', 'card']","['O', 'O', 'O', 'O']"
"['amp', 'bulb', 'w', 'led', 'eu', 'e', 'clear']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
['dunlopillo'],['O']
"['big', 'cay', 'desk', 'with', 'library', 'hutch']","['O', 'O', 'B-PRODUCT', 'O', 'O', 'B-PRODUCT']"
"['judy', 'dining', 'chair', 'painted']","['O', 'O', 'B-PRODUCT', 'O']"
"['shelby', 'chair']","['O', 'B-PRODUCT']"
"['amp', 'canopy', 'pcs', 'white']","['O', 'O', 'O', 'O']"
"['amp', 'lamp', 'small', 'eu', 'whitewhite']","['O', 'B-PRODUCT', 'O', 'O', 'O']"
"['porta', 'table', 'lamp', 'white']","['O', 'B-PRODUCT', 'B-PRODUCT', 'O']"
"['hypnos', 'beds', 'in', 'nottingham']","['O', 'O', 'O', 'O']"
"['rise', 'wall', 'lamp', 'eu', 'petrol', 'green']","['O', 'O', 'B-PRODUCT', 'O', 'O', 'O']"
['bedframes'],['O']
"['norm', 'lamp', 'xlarge', 'white']","['O', 'B-PRODUCT', 'O', 'O']"
"['porta', 'table', 'lamp', 'grey']","['O', 'B-PRODUCT', 'B-PRODUCT', 'O']"
"['norm', 'lamp', 'large', 'white']","['O', 'B-PRODUCT', 'O', 'O']"
['somnus'],['O']
"['norm', 'lamp', 'small', 'white']","['O', 'B-PRODUCT', 'O', 'O']"
"['bedroom', 'furniture']","['O', 'B-PRODUCT']"
"['norm', 'lamp', 'xlarge', 'white']","['O', 'B-PRODUCT', 'O', 'O']"
"['bau', 'lamp', 'large', 'eu', 'nature']","['O', 'B-PRODUCT', 'O', 'O', 'O']"
"['rise', 'wall', 'lamp', 'eu', 'yellow']","['O', 'O', 'B-PRODUCT', 'O', 'O']"
"['norm', 'lamp', 'small', 'white']","['O', 'B-PRODUCT', 'O', 'O']"
"['bell', 'lamp', 'large', 'eu', 'sand']","['O', 'B-PRODUCT', 'O', 'O', 'O']"
"['rise', 'wall', 'lamp', 'eu', 'black']","['O', 'O', 'B-PRODUCT', 'O', 'O']"
"['norm', 'lamp', 'large', 'white']","['O', 'B-PRODUCT', 'O', 'O']"
"['canopy', 'white']","['O', 'O']"
"['rise', 'wall', 'lamp', 'eu', 'grey']","['O', 'O', 'B-PRODUCT', 'O', 'O']"
"['norm', 'lamp', 'medium', 'white']","['O', 'B-PRODUCT', 'O', 'O']"
"['amp', 'lamp', 'small', 'smokebrass']","['O', 'B-PRODUCT', 'O', 'O']"
"['amp', 'lamp', 'large', 'eu', 'smokebrass']","['O', 'B-PRODUCT', 'O', 'O', 'O']"
"['rise', 'wall', 'lamp', 'eu', 'white']","['O', 'O', 'B-PRODUCT', 'O', 'O']"
"['amp', 'lamp', 'small', 'eu', 'goldgreen']","['O', 'B-PRODUCT', 'O', 'O', 'O']"
"['norm', 'lamp', 'large', 'white']","['O', 'B-PRODUCT', 'O', 'O']"
"['tip', 'floor', 'lamp']","['O', 'O', 'B-PRODUCT']"
"['tip', 'wall', 'lamp']","['O', 'O', 'B-PRODUCT']"
"['gift', 'card']","['O', 'O']"
"['cord', 'w', 'fitting', 'canopy', 'eu', 'white']","['O', 'O', 'O', 'O', 'O', 'O']"
"['fairmount', 'long', 'oval', 'mirror', 'black']","['O', 'O', 'O', 'B-PRODUCT', 'O']"
"['trumpet', 'lamp', 'large']","['O', 'B-PRODUCT', 'O']"
"['cherry', 'candle', 'holder']","['O', 'O', 'O']"
"['hugo', 'barbell', 'floor', 'lamp', 'natural']","['O', 'O', 'O', 'B-PRODUCT', 'O']"
"['norm', 'lamp', 'small', 'white']","['O', 'B-PRODUCT', 'O', 'O']"
"['edmund', 'sconce', 'black', 'walnut']","['O', 'B-PRODUCT', 'O', 'O']"
"['rice', 'patterned', 'tumblers', 'set', 'of', 'clear']","['O', 'O', 'O', 'O', 'O', 'O']"
"['edmund', 'pendant', 'light', 'clear', 'maple']","['O', 'O', 'B-PRODUCT', 'O', 'O']"
"['fairmount', 'leather', 'wide', 'oval', 'mirror', 'tan']","['O', 'O', 'O', 'O', 'B-PRODUCT', 'O']"
"['amp', 'led', 'bulb', 'spiral', 'w', 'e', 'eu', 'dimmable']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['jack', 'leather', 'and', 'wood', 'stool', 'black']","['O', 'O', 'O', 'O', 'B-PRODUCT', 'O']"
"['amp', 'lamp', 'small', 'eu', 'smokeblack']","['O', 'B-PRODUCT', 'O', 'O', 'O']"
"['westlake', 'cocktail', 'table']","['O', 'O', 'B-PRODUCT']"
"['amp', 'lamp', 'large', 'eu', 'goldgreen']","['O', 'B-PRODUCT', 'O', 'O', 'O']"
"['westlake', 'end', 'table', 'with', 'shelf']","['O', 'B-PRODUCT', 'I-PRODUCT', 'O', 'B-PRODUCT']"
"['westlake', 'chairside', 'table']","['O', 'O', 'B-PRODUCT']"
"['westlake', 'tv', 'console']","['O', 'O', 'B-PRODUCT']"
"['westlake', 'sofa', 'table']","['O', 'B-PRODUCT', 'B-PRODUCT']"
"['westlake', 'queen', 'panel', 'bed']","['O', 'O', 'O', 'B-PRODUCT']"
"['westlake', 'king', 'panel', 'bed']","['O', 'O', 'O', 'B-PRODUCT']"
"['amp', 'lamp', 'large', 'eu', 'smokeblack']","['O', 'B-PRODUCT', 'O', 'O', 'O']"
"['westlake', 'cal', 'king', 'panel', 'bed']","['O', 'O', 'O', 'O', 'B-PRODUCT']"
"['westlake', 'queen', 'storage', 'bed']","['O', 'O', 'O', 'B-PRODUCT']"
"['bell', 'lamp', 'small', 'eu', 'sand']","['O', 'B-PRODUCT', 'O', 'O', 'O']"
"['staingard', 'plus', 'year', 'stain', 'accidental', 'damage', 'cover', 'leather', 'sofas', 'armchairs']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
